movie_id,title,release_date,release_year,overview,tagline,keywords,rating,vote_count,popularity,budget,runtime,genres,production_companies,ethical_values,emotional_theme,ethical_values_clean,emotional_theme_clean
28969,The Velveteen Rabbit,27-02-2009,2009.0,A lonely boy wins over his distant father and strict grandmother with help from a brave velveteen rabbit whose one wish is to become a real rabbit someday.,All You Need to Do is Believe.,"grandparent grandchild relationship, remake, part live action, family drama, based on children's book, live action and animation, live action remake",6.6,30,0.4625,5500000,88.0,"Animation, Drama, Family, Fantasy","Believe Pictures, Family1 Films, CINAR, Feature Films for Families, New Movie","family, friendship, empathy","- heartwarming
- family bonding","['family', 'friendship', 'empathy']","['heartwarming', 'family bonding']"
810516,Max Steel: Makino's Revenge,06-11-2011,2011.0,"When the heroic exploits of Max Steel appear on television, his fame grows ... the same as his ego. Max defies Ferrus's orders and falls into the trap of a new and dangerous enemy, Makino. Half man and half machine, Makino is super powerful and arrogant. The only thing that surpasses Makino's ego is his hatred for Max Steel. Using his ability to control machines, Makino makes humanity turn against Max. As the power of Makino increases, it is difficult for the team of Max Steel to defeat him and everything falls apart: Cytro runs out of energy, Berto is kidnapped and N-Tek is forced to close its doors. This time, Max has to fix it alone...",,,7.2,12,0.4624,0,50.0,"Action, Adventure, Animation",Rainmaker Entertainment,"courage, loyalty, justice","- high-energy
- heroic quest","['courage', 'loyalty', 'justice']","['highenergy', 'heroic quest']"
795183,Taint of Greatness: The Journey of Beavis and Butt-Head,08-11-2005,2005.0,A documentary about the creation of Beavis and Butt-Head.,,,8.0,1,0.4624,0,71.0,"Documentary, Animation, Comedy","MTV, Sparkhill","perseverance, self-acceptance","- pure fun
- bittersweet","['perseverance', 'selfacceptance']","['pure fun', 'bittersweet']"
397127,Alpha and Omega: Dino Digs,10-05-2016,2016.0,"After Kate, Humphrey, and their three pups are forced to relocate their den to Wolf-burbia, they discover Amy, a friendly raptor that magically came to life after being uncovered during a big dig! The pups and their forest friends show Amy the wonders of their new world, and must work together and try to stop the diggers from unearthing the dangerous T-Rex before it's too late!",,"wolf, cartoon, dinosaur, digger",5.0,24,0.4624,4000000,45.0,"Animation, Family, Comedy, Fantasy","Crest Animation Production, Splash Entertainment, Lionsgate","courage, friendship, empathy","- heartwarming
- pure fun","['courage', 'friendship', 'empathy']","['heartwarming', 'pure fun']"
911236,Thugaboo: Sneaker Madness,11-08-2006,2006.0,"When D-Roc sees a pair of expensive sneakers called Air Jareds, he wants his mother to buy them to wear at school in order to look cool. His mother purchases a cheaper priced pair of Air Johnsons instead. Afraid of looking bad to his crew, D-Roc asks Soo-Young to make Air Jareds out of Air Johnsons and when they work out well, they realize they can make money by converting the shoes. Their plan to make money eventually goes wary and D-Roc is taught a lesson about being himself.",How you gonna holla at some shorty with some knockoff sneaks?,sneakers,7.0,1,0.4621,0,45.0,"Animation, Comedy, Family, TV Movie",,"self-acceptance, friendship, responsibility","- pure fun
- family bonding","['selfacceptance', 'friendship', 'responsibility']","['pure fun', 'family bonding']"
853151,Are We Monsters,28-08-2021,2021.0,"A werewolf conflicted with identity, Maya seeks to understand the two sides of herself- before the consequences become deadly.",They Hide Beneath Our Skin,"monster, werewolf, folklore, based on myths, legends or folklore, silver bullet, greek folklore, blood moon",5.0,1,0.462,0,94.0,"Fantasy, Drama, Animation",Bubble Light Productions,"self-acceptance, empathy, perseverance","- bittersweet
- heroic quest","['selfacceptance', 'empathy', 'perseverance']","['bittersweet', 'heroic quest']"
316068,Tyler Perry's Madea's Tough Love,20-01-2015,2015.0,"After a hilarious run-in with the law, Madea is sentenced to community service. Determined to do good for the 'hood, Madea enlists Aunt Bam and Uncle Joe to try and save the Moms Mabley Youth Center from being shut down. With her irresistible sass and wisdom, Madea rallies the local kids to make a stand-and proves that behind her tough exterior is a whole lot of love!",,adult animation,6.5,29,0.4616,0,64.0,"Animation, Comedy","Tyler Perry Studios, Bento Box Entertainment","justice, perseverance, family","- pure fun
- family bonding","['justice', 'perseverance', 'family']","['pure fun', 'family bonding']"
400874,Ever After High: Spring Unsprung,06-02-2015,2015.0,"When the Storybook of Legends is found by Alistair Wonderland and Bunny Blanc, the two friends decide to bring the book back to Ever After High, but the Cheshire Cat has other plans for the book and swaps it with a book of cursed riddles instead, that turn all who read it topsy-turvy with their wild magic, one of whom is Apple, who thus threatens to destroy the fairytale world. Now, with only Maddie, Alistair, Lizzie, Bunny and Kitty left, they must solve the malicious riddle of the Cheshire Cat, and save their friends.",,,8.2,9,0.4611,0,46.0,"Animation, Family, TV Movie, Fantasy","Guru Studio, Mattel","courage, friendship, perseverance","- high-energy
- heroic quest","['courage', 'friendship', 'perseverance']","['highenergy', 'heroic quest']"
60382,Bratz the Video: Starrin' & Stylin',03-08-2004,2004.0,"Cloe, Yasmin, Jade, and Sasha must balance a school art project and preparing for prom.",Their Superstylin' Talents Throw the Best School Dance Ever!,"prom, based on toy, school, art project",6.8,28,0.4609,0,59.0,"Family, Animation","CinéGroupe, MGA Entertainment","friendship, perseverance, responsibility","pure fun, family bonding","['friendship', 'perseverance', 'responsibility']","['pure fun', 'family bonding']"
141263,Tony Hawk in Boom Boom Sabotage,12-09-2006,2006.0,"Tony Hawk's Boom Boom HuckJam arrives in the town of Lincolville and bumps a crummy circus. The evil circus ringleader, Grimley, exacts his revenge by kidnapping Tony and jacking the HuckJam. Tony's only hope is a bunch of local skater punks.",,wry,4.3,10,0.4604,0,70.0,"Animation, Family","Mainframe Entertainment, Funimation Global Group, Alliance Atlantis","courage, friendship, justice","high-energy, pure fun","['courage', 'friendship', 'justice']","['highenergy', 'pure fun']"
26995,Franklin's Magic Christmas,08-03-2001,2001.0,"Franklin and his family are off on a Christmas visit with Grandma and Grandpa at Faraway Farm. When a sudden ice storm hits and Grandpa takes a terrible tumble, Franklin and his baby sister Harriet begin a magical adventure as they journey home in search of help. With the aid of a mysterious flying creature and some very special new friends, the two manage to return with Doctor Bear and her family. Once back together, friends and family share an enchanted Christmas Ever and a memory they will hold forever of a magical Christmas night.",,cartoon turtle,6.429,14,0.4599,0,50.0,"Family, Animation",Nelvana,"courage, family, friendship","- heartwarming
- family bonding","['courage', 'family', 'friendship']","['heartwarming', 'family bonding']"
49625,Greatest Heroes and Legends of The Bible: Joshua and the Battle of Jericho,01-04-2003,2003.0,"As the story begins, we learn that the Israelites-under the leadership of Moses-have been wandering the wilderness for forty years. Now, they are about to enter the Promised Land. But Moses will not be going with them. His time has come to join God in Heaven. And so, a young man named Joshua is appointed to take Moses' place.  Like Moses, Joshua realizes that nothing can be accomplished without God's help. The Lord rewards Joshua for his faith by revealing a plan that will allow the Israelites to take the city of Jericho.  As the action unfolds, we witness a series of divine miracles reminiscent of those which allowed the Israelites to escape from Egypt many years earlier. And eventually, we rejoice with them, as they enter the Promised Land.",Joshua and the Battle of Jericho is one of the most inspiring stories in the Old Testament.,,0.0,0,0.4592,0,48.0,Animation,GoodTimes Entertainment,"courage, loyalty","- heroic quest
- heartwarming","['courage', 'loyalty']","['heroic quest', 'heartwarming']"
140109,Dear Dracula,16-10-2012,2012.0,"Sam loves scary movies, especially the ones with Dracula. This year, instead of writing to Santa for Christmas, Sam writes to Dracula, telling Dracula that he wants to be a real vampire on Halloween this year. Sam is in for quite a surprise as the most famous of all vampires himself responds.",,vampire,8.5,25,0.4575,0,43.0,"Animation, Family, Comedy",Kickstart Entertainment,"courage, empathy","- heartwarming
- pure fun","['courage', 'empathy']","['heartwarming', 'pure fun']"
1032659,Sofia the First: Forever Royal,08-09-2018,2018.0,"As Sofia, and her siblings Amber and James, prepare for their graduation from Royal Prep Academy, Sofia is called back to the Mystic Isles to face an evil witch named Vor, who is trying to take over the kingdom of Enchancia.",,,9.5,2,0.457,0,67.0,"Animation, Adventure, Comedy, Family, Fantasy",Disney Television Animation,"courage, loyalty, justice","- heroic quest
- family bonding","['courage', 'loyalty', 'justice']","['heroic quest', 'family bonding']"
79327,The Littlest Angel,07-11-2011,2011.0,"Based on the fifteenth best-selling children's book of all time, The Littlest Angel tells the story of a young boy who arrives in heaven before his time. Home-sick and lonely, he will travel back to earth, with his friendly pup Halo, to retrieve a most selfless and precious gift for The Baby Jesus. Experience the love, laughter and magic of one of the most popular children's stories of all time. From the classic book by Charles Tazewell comes the CGI animated film, The Littlest Angel.","Recently arrived in heaven, 5-year-old ""Littlest Angel"" wants to return to Earth in order to retrieve his treasure box and earn his wings.",,4.333,6,0.4568,0,84.0,"Animation, Family",Great Highway Company,"kindness, friendship, empathy","heartwarming, family bonding","['kindness', 'friendship', 'empathy']","['heartwarming', 'family bonding']"
34037,The Magic Pudding,14-12-2000,2000.0,"Meet Albert, The Magic Pudding, Bunyip Bluegum, a splendid young koala and his seafaring friends Bill Barnacle and Sam Sawnoff. Together they fight off the bungled attempts of pudding thieves, Possum and Wombat, and try to solve the mystery of Bunyip's parents' disappearance.",Always Running Away But Never Running Out!,"australia, based on novel or book, pudding",5.071,14,0.4562,0,80.0,"Animation, Music, Family","Australian Broadcasting Corporation, Energee Entertainment, Icon Entertainment International, New South Wales Film & Television Office, Premium Movie Partnership, 20th Century Fox, Icon Productions","friendship, perseverance, loyalty","- pure fun
- family bonding","['friendship', 'perseverance', 'loyalty']","['pure fun', 'family bonding']"
398362,Izzie's Way Home,17-05-2016,2016.0,"A constantly picked-on aquarium fish escapes her yacht home, unaware of the dangers that await her in the open ocean. With the help of other misfit sea creatures, she learns not only how to brave the perils of the deep, but how to be true to herself.",From her aquarium home... to a new life under the sea,"aquarium, underwater, shark, talking fish, giant fish, sea snake, sea slug",1.8,9,0.4551,0,78.0,"Adventure, Animation",The Asylum,"courage, self-acceptance, friendship","- heartwarming
- heroic quest","['courage', 'selfacceptance', 'friendship']","['heartwarming', 'heroic quest']"
1183415,Take off the Blindfold Adjust Your Eyes Look in the Mirror See the Face of Your Mother,15-04-2025,2025.0,"The universe is waking up to itself, prophets are receiving visions, and God-defying towers formed in hedonistic abundance are toppling over. There is an aura of pathetic surrender surrounding you. Armies formed from eating scraps emerge, ready for battle, with powerful weapons fashioned from air, through the effort of their sheer will, realizing that the foe isn't the force it seemed.  The fourth film in Jonni Pepper-GoLions' ""The Blindfold"" series, which includes her films ""Wasteland"", ""Secrets and Lies in a Town of Sinners"", and ""Barber Westchester"". This film sets up the upcoming finale to the series, ""The Cone Layer"".",,,0.0,0,0.4548,0,85.0,"Animation, Comedy, Drama",,"courage, resilience, justice","- heroic quest
- bittersweet","['courage', 'resilience', 'justice']","['heroic quest', 'bittersweet']"
17738,The Condor,21-03-2007,2007.0,"After his parents are murdered and his legs crippled, Tony Valdez uses their technology and becomes a skateboarding superhero.",,,3.889,9,0.4524,0,74.0,"Action, Adventure, Animation, Fantasy","Mook Animation, IDT Entertainment, POW! Entertainment, Film Roman","courage, perseverance, justice","high-energy, heroic quest","['courage', 'perseverance', 'justice']","['highenergy', 'heroic quest']"
1198450,Phineas and Ferb: Night of the Living Pharmacists,04-10-2014,2014.0,"Doofenshmirtz's latest ""-inator"" accidentally turns the citizens of Danville into contagious mindless repulsive pharmacists that look like him who run rampant all over town. Agent P and the kids must work together to save Danville and avoid becoming mindless repulsive pharmacists themselves.",,"parody, spoof, zombie, zombification",7.8,6,0.4515,0,45.0,"Animation, Comedy, Horror",Disney Television Animation,"courage, friendship, justice","- high-energy
- pure fun","['courage', 'friendship', 'justice']","['highenergy', 'pure fun']"
179267,Jay and Silent Bob's Super Groovy Cartoon Movie,20-04-2013,2013.0,"When they can no longer stomach the ever-growing weed of suburban crime, Jay and Silent Bob take on the mantles of costumed avengers Bluntman and Chronic, smashing the super-villains they accidentally create!  Can the Doobage Duo save their beloved Jersey 'burbs from their new arch enemies, The League of Shitters?  While clearly not the comic book movie the world wants, GROOVY MOVIE is the comic book movie the world needs!",SNOOGANS! RISE!,"stoner, superhero team, superhero spoof",5.1,79,0.4495,0,63.0,"Comedy, Animation","Phase 4 Films, Starktoons, SModcast Pictures, View Askew Productions","courage, friendship, humor","pure fun, high-energy","['courage', 'friendship', 'humor']","['pure fun', 'highenergy']"
61489,Elka,25-10-2007,2007.0,"This fairy tale takes place on the New Year's Eve. Elka, a polar bear cub, finds a Magic Tunnel of Friendship near his home. This Tunnel connects the Northern and the Southern Poles. With the help of the Tunnel, Elka gets a friend - a penguin girl Tasha. She tells Elka that Antarctica, her motherland, is in a great danger, since evil people have been stealing the snow which is almost all gone by now. Elka and Tasha leave immediately to save Antarctica. At the Southern Pole, the brave polar bear cub and the little penguin will find true friends and experience the most unbelievable adventure of their lives. Written by Tatiana Didusenko",,,0.0,0,0.4493,0,85.0,"Animation, Family, Adventure",Tema,"friendship, courage, empathy","- heartwarming
- heroic quest","['friendship', 'courage', 'empathy']","['heartwarming', 'heroic quest']"
973037,Max Steel: Team Turbo,22-03-2016,2016.0,"Max and Steel face their greatest challenge ever. When Max's greatest enemies unite to take down N-Tek and conquer Copper Canyon, Max and Steel realize that they can't save the day on their own.",,,6.0,1,0.448,0,43.0,"Animation, Action",,"courage, loyalty, justice","- high-energy
- heroic quest","['courage', 'loyalty', 'justice']","['highenergy', 'heroic quest']"
485038,The Cat In The Hat Knows A Lot About Space!,07-02-2017,2017.0,"The Cat in the Hat joins Nick and Sally who are exploring the backyard when something extraordinary finds them-a flying robotic dog. The robot lands and does some exploring of his own, gulping up rock samples and photographing the Cat, Nick, Sally, and Fish before blasting off back into space. What was that thing? Where did it come from? Where is it going? The Cat in the Hat fires up his Space-ama-racer and whisks Nick, Sally and Fish off on a cosmic adventure in search of the robot. Together, they survive a dust storm on the surface of Mars, rocket through an asteroid belt, and then narrowly escape being sucked into Jupiter by its huge gravitational pull. Ultimately, they hitch a ride on a comet that leads them all safely back to the Space Station, along with plenty of space samples, and stories and even a small souvenir that follows The Cat in the Hat and our crew back to Earth.",,,4.0,1,0.4475,0,57.0,"Animation, Adventure, Family","Portfolio Productions, KQED, CBC, Corus Entertainment, Random House, Collingwood & Co.","courage, friendship, perseverance","- high-energy
- pure fun","['courage', 'friendship', 'perseverance']","['highenergy', 'pure fun']"
74496,The Nutcracker and the Mouseking,12-10-2004,2004.0,"The fairytale story revolves around a young prince who - along with his entourage - is turned into a nutcracker through his own ungrateful and selfish behaviour, and awaits a kindly soul who'll release him from the spell. The mouse-king seeks the magic that made this happen so that he can become all-powerful. The prince (now a nutcracker) finds hope in the form of a girl who risks everything to help him become real again, while the mouse-king and his armies do everything they can to steal the magic for themselves.",,"dance, christmas",6.1,16,0.4472,0,82.0,"Animation, Family, Fantasy","Argus International, MC One Animation","courage, empathy","- heartwarming
- heroic quest","['courage', 'empathy']","['heartwarming', 'heroic quest']"
452361,Rocket Power: The Big Day,30-07-2004,2004.0,The gang anticipates the opening of Zero Gravity Zone; planning begins for Ray and Noelani's wedding.,,,0.0,0,0.4458,0,44.0,"Animation, Comedy, Family, TV Movie, Action, Adventure, Drama","Klasky-Csupo, Nickelodeon Productions","family, friendship, perseverance","- family bonding
- pure fun","['family', 'friendship', 'perseverance']","['family bonding', 'pure fun']"
45097,Edison & Leo,04-09-2008,2008.0,"The film is about the relationship between crazy scientist George Edison and his son Leo. After being electrocuted as a child, Leo is no longer able to touch people without electrocuting them.",It's all in the name of science.,"cheating, inventor, technology, sexuality, genius, supernatural, belly dancing, coming of age, murder, stop motion, robot, adult animation, belly dancer",6.5,12,0.4445,10000000,79.0,"Animation, Fantasy, Comedy, Romance, Adventure, Horror","A Perfect Circle Entertainment, Perfect Circle Productions","family, friendship, self-acceptance","bittersweet, family bonding","['family', 'friendship', 'selfacceptance']","['bittersweet', 'family bonding']"
1454625,Far From Home,09-08-2003,2003.0,"Ginger wins a scholarship to a gellowship program for an entire semester. Her friends are sad at the thought of Ginger being gone for so long. Courtney is, too. And that's making Miranda look for a way to make sure Ginger stays gone! Meanwhile, it takes Ginger's absense for Darren to realize his true feelings for her.",,,0.0,0,0.4441,0,90.0,"Animation, Family",Klasky-Csupo,"friendship, loyalty, empathy","- bittersweet
- family bonding","['friendship', 'loyalty', 'empathy']","['bittersweet', 'family bonding']"
166248,Black to the Moon 3D,15-02-2013,2013.0,"Blackie, the black sheep, is obsessed with going to the moon. Kanuto, the sheepdog, is obsessed with Blackie, but he will not hear of rockets. However, undertaking the trip just dreamed Blackie. Along the way are cows that are opera singers, gallant wolves, spiders, illegal immigrants and a strange little group of dogs that have a rocket ready to take off. But Pinky, a huge pink sheep devilish character, prevents it.",Up to his old tricks!,,4.2,10,0.4429,15000000,83.0,"Animation, Family","Art'Mell, Baleuko, Lumiq Studios, Araneo, France 3 Cinéma","courage, friendship, perseverance","dream-driven, pure fun","['courage', 'friendship', 'perseverance']","['dreamdriven', 'pure fun']"
973883,We Lost Our Human,21-03-2023,2023.0,There's been a glitch — all the humans are gone! Can you help pampered pet siblings Pud and Ham journey to the center of the universe to fix it?,Are you a cat person or a dog person?,"cat, dog, animals, interactive, pet owner, tv special",4.8,8,0.4418,0,103.0,"Adventure, Animation, Comedy",Jam Filled Entertainment,"loyalty, friendship","- heartwarming
- heroic quest","['loyalty', 'friendship']","['heartwarming', 'heroic quest']"
184322,Cheech & Chong's Animated Movie!,18-04-2013,2013.0,"It's the legendary toker jokers Cheech & Chong as you've never seen them before - in their very first animated movie. Catch all the buzz as their most outrageously funny routines and laugh-out-loud lines from their Grammy Award-winning albums come to life, including ""Dave's Not Here,"" ""Let's Make A Dope Deal"" and more. With help from a trippy, bud-lovin' body crab named Buster, Cheech & Chong ""the masters of smokin' word"" deliver the ultimate comedy high and give you the munchies for more.",You're not hallucinating... but they are.,"drug use, crab, drugs, dog, strong language, adult animation",5.2,25,0.4415,0,84.0,"Animation, Comedy","Ode Sounds & Visuals, Houston Curtis Pictures, Chambers Brothers Animation","freedom, self-acceptance","pure fun, high-energy","['freedom', 'selfacceptance']","['pure fun', 'highenergy']"
572060,Max Steel: Bio Crisis,01-10-2008,2008.0,"Max has to investigate a polluted jungle, and travels from outer space to the center of the earth in his quest to unveil this mystery.",,,8.5,16,0.4409,0,52.0,"Action, Animation",Rainmaker Entertainment,"perseverance, justice, responsibility","high-energy, heroic quest","['perseverance', 'justice', 'responsibility']","['highenergy', 'heroic quest']"
57505,My Little Pony: Twinkle Wish Adventure,13-10-2009,2009.0,"When the wishing star disappears, Pinkie and all of her pony friends go on a journey to find it.",,"pony, wish fulfillment, wishes come true, wishing on a star, wishes",5.5,4,0.4406,0,44.0,"Family, Animation, Comedy, TV Movie",Hasbro,"friendship, kindness, perseverance","- heartwarming
- family bonding","['friendship', 'kindness', 'perseverance']","['heartwarming', 'family bonding']"
498437,Max Steel: Endangered Species,05-01-2004,2004.0,"More powerful than any human, Max Steel is more radical than ever in his first movie ""Endangered Species"". Along with his friends Kat and Berto, Max Steel will have to face his greatest enemies, Bio-Constrictor and Psycho, who want to genetically modify animals and terrorize the world.",,,7.1,23,0.4387,0,71.0,"Animation, Action, Science Fiction",Mainframe Entertainment,"courage, justice, friendship","high-energy, heroic quest","['courage', 'justice', 'friendship']","['highenergy', 'heroic quest']"
